loss_image,loss_tabular,loss_fusion,loss_total
1.0153619320055471,1.0077432147379666,0.9324698112410102,2.9555749579845236
0.6185499873156177,0.6834996799767944,0.5154215680062906,1.8174712352987028
0.4030066199388356,0.4610328383336863,0.3171845725205485,1.1812240307930704
0.3289072075650121,0.32511641078601,0.22861165607021477,0.8826352744212369
0.316457836073447,0.25098955429305136,0.1835645921345023,0.7510119825010007
0.27633102908309143,0.20163296072779704,0.14804929708573408,0.6260132868966226
0.240565496386659,0.15851967068431635,0.1272102677167429,0.5262954347877182
0.2291150339452359,0.14702880633557514,0.1076833069109678,0.48382714719177883
0.21920651417424986,0.1289223560634612,0.08681340856582119,0.43494227880353226
0.2044834832532969,0.11014360482059403,0.07681393881105494,0.39144102688494586
0.19511948428027084,0.09824451933700135,0.06337915564857977,0.356743159265852
0.1841743402230384,0.0950276979169306,0.06143128758927646,0.3406333257292455
0.17084295496828636,0.09019451537321428,0.05331862859932491,0.31435609894082556
0.16015238364968137,0.09220537864033765,0.047343678726351694,0.29970144101637075
0.1505587615897754,0.08901885692976977,0.048551800713460116,0.2881294192330053
0.14404020444731996,0.07848962482629,0.04741859269191607,0.26994842196552604
0.1405689878066922,0.08090830896157733,0.045676630651378114,0.2671539274196476
0.13493486795387694,0.08673831555598131,0.0407436171318298,0.26241680064168804
0.12584779531488252,0.0787071157041143,0.04288364604016214,0.24743855705915896
0.11684473435248542,0.07890800225616096,0.03471087969602365,0.23046361630467005
0.10936235315689996,0.06722199070406817,0.03473300001294544,0.21131734387391357
0.10411224070219378,0.062138084335410126,0.038221004803091436,0.20447132984069533
0.09989681734250312,0.06568788797970923,0.03721757380439699,0.20280227912660936
0.09439940729425027,0.05663667027562998,0.03099545834399306,0.1820315359138733
0.08803044227455552,0.05866051731600374,0.03469698937433545,0.18138794896489469
0.08255024395594514,0.06243524335513193,0.029590880707713502,0.1745763680187906
0.07815328996016936,0.0574916540539322,0.036127955074834746,0.1717728990889363
0.07372635758837368,0.05486882440899699,0.03037121867866966,0.15896640067604031
0.0694804400337639,0.04947522089449203,0.03074716958546292,0.14970283051371885
0.06572915610292815,0.05695512968087286,0.03248394586727024,0.15516823165107124
0.06207619833655561,0.05232031311448591,0.028505750735908945,0.14290226218695046
0.05853899877930672,0.051670715373324794,0.02668437364856817,0.13689408780119966
0.05521023327343076,0.056690155264001896,0.024418195837022493,0.13631858437445515
0.05201605545856498,0.047330683345440425,0.025393081877606766,0.12473982068161217
0.048987198865665105,0.05293473927906472,0.022745755640763,0.12466769378549283
0.0461689878275931,0.05129474068063917,0.021706684197775123,0.11917041270600738
